Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
GO_Biological_Process_2021,ionotropic glutamate receptor signaling pathway (GO:0035235),1/10,0.0149023554252653,0.0895037919686254,0,0,76.47892720306514,321.6884165593148,APP
GO_Biological_Process_2021,regulation of hydrogen peroxide-induced cell death (GO:1903205),1/10,0.0149023554252653,0.0895037919686254,0,0,76.47892720306514,321.6884165593148,LRRK2
GO_Biological_Process_2021,neuron projection maintenance (GO:1990535),1/10,0.0149023554252653,0.0895037919686254,0,0,76.47892720306514,321.6884165593148,APP
GO_Biological_Process_2021,neuron remodeling (GO:0016322),1/10,0.0149023554252653,0.0895037919686254,0,0,76.47892720306514,321.6884165593148,APP
GO_Biological_Process_2021,positive regulation of RIG-I signaling pathway (GO:1900246),1/10,0.0149023554252653,0.0895037919686254,0,0,76.47892720306514,321.6884165593148,OASL
GO_Biological_Process_2021,myeloid dendritic cell differentiation (GO:0043011),1/10,0.0149023554252653,0.0895037919686254,0,0,76.47892720306514,321.6884165593148,DHRS2
GO_Biological_Process_2021,cellular response to oxidative stress (GO:0034599),2/125,0.0150362505284807,0.0895037919686254,0,0,11.525551684088269,48.37609771345922,LRRK2;DHRS2
GO_Biological_Process_2021,synapse organization (GO:0050808),2/126,0.0152646533217662,0.0895037919686254,0,0,11.432027649769584,47.811201675266936,APP;LRRK2
GO_Biological_Process_2021,regulation of cytoplasmic transport (GO:1903649),1/11,0.0163807339505408,0.0895037919686254,0,0,68.82758620689656,282.994903106762,LRRK2
GO_Biological_Process_2021,negative regulation of protein maturation (GO:1903318),1/11,0.0163807339505408,0.0895037919686254,0,0,68.82758620689656,282.994903106762,LRRK2
GO_Biological_Process_2021,regulation of long-term neuronal synaptic plasticity (GO:0048169),1/11,0.0163807339505408,0.0895037919686254,0,0,68.82758620689656,282.994903106762,APP
GO_Biological_Process_2021,regulation of mitochondrial depolarization (GO:0051900),1/11,0.0163807339505408,0.0895037919686254,0,0,68.82758620689656,282.994903106762,LRRK2
GO_Biological_Process_2021,defense response to virus (GO:0051607),2/133,0.0169052903850118,0.0895037919686254,0,0,10.81733914940022,44.13613554797711,IFI27;OASL
GO_Biological_Process_2021,positive regulation of endoplasmic reticulum unfolded protein response (GO:1900103),1/12,0.0178569680089386,0.0895037919686254,0,0,62.56739811912226,251.8563944353508,AGR2
GO_Biological_Process_2021,negative regulation of hemostasis (GO:1900047),1/12,0.0178569680089386,0.0895037919686254,0,0,62.56739811912226,251.8563944353508,THBD
GO_Biological_Process_2021,mitochondrion distribution (GO:0048311),1/12,0.0178569680089386,0.0895037919686254,0,0,62.56739811912226,251.8563944353508,LRRK2
GO_Biological_Process_2021,negative regulation by host of viral process (GO:0044793),1/12,0.0178569680089386,0.0895037919686254,0,0,62.56739811912226,251.8563944353508,PTX3
GO_Biological_Process_2021,neuron projection morphogenesis (GO:0048812),2/140,0.0186179663566616,0.0895037919686254,0,0,10.265010351966874,40.891985032911535,APP;LRRK2
GO_Biological_Process_2021,positive regulation of cellular catabolic process (GO:0031331),2/141,0.0188684226599342,0.0895037919686254,0,0,10.190647482014388,40.459576252208606,APP;LRRK2
GO_Biological_Process_2021,protein localization to organelle (GO:0033365),2/142,0.0191203122992009,0.0895037919686254,0,0,10.11734693877551,40.03438268908486,APP;LRRK2
GO_Biological_Process_2021,negative regulation of autophagosome assembly (GO:1902902),1/13,0.0193310605643026,0.0895037919686254,0,0,57.35057471264368,226.30778348154325,LRRK2
GO_Biological_Process_2021,purine ribonucleoside triphosphate metabolic process (GO:0009205),1/13,0.0193310605643026,0.0895037919686254,0,0,57.35057471264368,226.30778348154325,LRRK2
GO_Biological_Process_2021,negative regulation of hydrogen peroxide-induced cell death (GO:1903206),1/13,0.0193310605643026,0.0895037919686254,0,0,57.35057471264368,226.30778348154325,LRRK2
GO_Biological_Process_2021,regulation of fibrinolysis (GO:0051917),1/13,0.0193310605643026,0.0895037919686254,0,0,57.35057471264368,226.30778348154325,THBD
GO_Biological_Process_2021,regulation of lysosomal lumen pH (GO:0035751),1/13,0.0193310605643026,0.0895037919686254,0,0,57.35057471264368,226.30778348154325,LRRK2
