Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
GO_Biological_Process_2021,lung development (GO:0030324),1/35,0.0327457811830531,0.0849027606113405,0,0,32.59313725490196,111.43532169951338,ERRFI1
GO_Biological_Process_2021,muscle cell differentiation (GO:0042692),1/35,0.0327457811830531,0.0849027606113405,0,0,32.59313725490196,111.43532169951338,SYNE1
GO_Biological_Process_2021,cellular response to amyloid-beta (GO:1904646),1/35,0.0327457811830531,0.0849027606113405,0,0,32.59313725490196,111.43532169951338,CASP4
GO_Biological_Process_2021,positive regulation of cytokine-mediated signaling pathway (GO:0001961),1/36,0.0336662807139245,0.0849027606113405,0,0,31.66031746031746,107.36832116912788,CASP4
GO_Biological_Process_2021,positive regulation of substrate adhesion-dependent cell spreading (GO:1900026),1/36,0.0336662807139245,0.0849027606113405,0,0,31.66031746031746,107.36832116912788,P4HB
GO_Biological_Process_2021,positive regulation of apoptotic process (GO:0043065),2/310,0.0344236702368572,0.0849027606113405,0,0,7.514514896867838,25.31648231731918,CRADD;TNFSF10
GO_Biological_Process_2021,regulation of protein autophosphorylation (GO:0031952),1/37,0.0345859503542857,0.0849027606113405,0,0,30.77932098765432,103.55110778477112,ERRFI1
GO_Biological_Process_2021,regulation of apoptotic signaling pathway (GO:2001233),1/38,0.035504790801106,0.0849027606113405,0,0,29.945945945945947,99.96219201416405,CRADD
GO_Biological_Process_2021,positive regulation of signaling (GO:0023056),1/38,0.035504790801106,0.0849027606113405,0,0,29.945945945945947,99.96219201416405,NMU
GO_Biological_Process_2021,regulation of viral entry into host cell (GO:0046596),1/39,0.0364228027645029,0.0858537493734711,0,0,29.156432748538013,96.58244018092805,P4HB
GO_Biological_Process_2021,negative regulation of ERBB signaling pathway (GO:1901185),1/40,0.0373399869476018,0.0867760260049901,0,0,28.40740740740741,93.39476319093392,ERRFI1
GO_Biological_Process_2021,regulation of release of cytochrome c from mitochondria (GO:0090199),1/41,0.0382563440505893,0.0876707884492672,0,0,27.695833333333333,90.3838530444344,TNFSF10
GO_Biological_Process_2021,regulation of extrinsic apoptotic signaling pathway via death domain receptors (GO:1902041),1/42,0.0391718747772544,0.088539169017082,0,0,27.018970189701896,87.53595883632167,TNFSF10
GO_Biological_Process_2021,response to amyloid-beta (GO:1904645),1/44,0.0410004599209637,0.0890141564073555,0,0,25.75968992248062,82.28088014399276,CASP4
GO_Biological_Process_2021,positive regulation of osteoblast differentiation (GO:0045669),1/44,0.0410004599209637,0.0890141564073555,0,0,25.75968992248062,82.28088014399276,RUNX2
GO_Biological_Process_2021,negative regulation of epidermal growth factor receptor signaling pathway (GO:0042059),1/44,0.0410004599209637,0.0890141564073555,0,0,25.75968992248062,82.28088014399276,ERRFI1
GO_Biological_Process_2021,nucleus organization (GO:0006997),1/48,0.0446477445751972,0.0956737383754225,0,0,23.56264775413712,73.25512875801161,SYNE1
GO_Biological_Process_2021,positive regulation of cell morphogenesis involved in differentiation (GO:0010770),1/50,0.0464664552952436,0.0971525749233124,0,0,22.598639455782312,69.35578082800635,P4HB
GO_Biological_Process_2021,regulation of substrate adhesion-dependent cell spreading (GO:1900024),1/51,0.047374580199126,0.0971525749233124,0,0,22.14555555555556,67.53662482568532,P4HB
GO_Biological_Process_2021,regulation of release of sequestered calcium ion into cytosol (GO:0051279),1/52,0.0482818857194643,0.0971525749233124,0,0,21.71023965141612,65.79719781355674,F2RL3
GO_Biological_Process_2021,cartilage development (GO:0051216),1/52,0.0482818857194643,0.0971525749233124,0,0,21.71023965141612,65.79719781355674,RUNX2
GO_Biological_Process_2021,regulation of intrinsic apoptotic signaling pathway (GO:2001242),1/52,0.0482818857194643,0.0971525749233124,0,0,21.71023965141612,65.79719781355674,P4HB
GO_Biological_Process_2021,"DNA damage response, signal transduction by p53 class mediator resulting in cell cycle arrest (GO:0006977)",1/56,0.0519029280414418,0.1030454758732966,0,0,20.12727272727273,59.54412256861738,CRADD
GO_Biological_Process_2021,cellular response to peptide (GO:1901653),1/57,0.0528061471485762,0.1030454758732966,0,0,19.76686507936508,58.13687386922473,CASP4
GO_Biological_Process_2021,regulation of tumor necrosis factor-mediated signaling pathway (GO:0010803),1/58,0.0537085510612333,0.1030454758732966,0,0,19.41910331384016,56.7850128051737,CASP4
GO_Biological_Process_2021,positive regulation of mitochondrion organization (GO:0010822),1/58,0.0537085510612333,0.1030454758732966,0,0,19.41910331384016,56.7850128051737,TNFSF10
GO_Biological_Process_2021,"regulation of DNA-templated transcription, initiation (GO:2000142)",1/61,0.0564108785625051,0.1042150615389833,0,0,18.44537037037037,53.032159970359054,RUNX2
GO_Biological_Process_2021,positive regulation of cysteine-type endopeptidase activity (GO:2001056),1/62,0.0573100286272796,0.1042150615389833,0,0,18.14207650273224,51.8732701693752,TNFSF10
GO_Biological_Process_2021,positive regulation of Ras protein signal transduction (GO:0046579),1/63,0.05820836695689,0.1042150615389833,0,0,17.84856630824373,50.75643515113452,F2RL3
GO_Biological_Process_2021,neuropeptide signaling pathway (GO:0007218),1/63,0.05820836695689,0.1042150615389833,0,0,17.84856630824373,50.75643515113452,NMU
GO_Biological_Process_2021,regulation of extrinsic apoptotic signaling pathway (GO:2001236),1/64,0.0591058942492224,0.1042150615389833,0,0,17.56437389770723,49.67950767349094,TNFSF10
GO_Biological_Process_2021,regulation of transcription initiation from RNA polymerase II promoter (GO:0060260),1/64,0.0591058942492224,0.1042150615389833,0,0,17.56437389770723,49.67950767349094,RUNX2
GO_Biological_Process_2021,organelle organization (GO:0006996),2/420,0.0594674990376155,0.1042150615389833,0,0,5.506051224317479,15.53986795062316,CNN2;SYNE1
GO_Biological_Process_2021,BMP signaling pathway (GO:0030509),1/65,0.0600026111891116,0.1042150615389833,0,0,17.2890625,48.64048131974362,RUNX2
GO_Biological_Process_2021,mitotic G1 DNA damage checkpoint signaling (GO:0031571),1/65,0.0600026111891116,0.1042150615389833,0,0,17.2890625,48.64048131974362,CRADD
GO_Biological_Process_2021,regulation of epidermal growth factor receptor signaling pathway (GO:0042058),1/67,0.0617936167940729,0.1062077788648129,0,0,16.763468013468014,46.668744079814495,ERRFI1
GO_Biological_Process_2021,cellular response to decreased oxygen levels (GO:0036294),1/69,0.0635813892802247,0.1075659941258743,0,0,16.268790849673202,44.82758713858363,P4HB
GO_Biological_Process_2021,positive regulation of cell-substrate adhesion (GO:0010811),1/70,0.0644740648279743,0.1075659941258743,0,0,16.03220611916264,43.95216853322471,P4HB
GO_Biological_Process_2021,cellular response to BMP stimulus (GO:0071773),1/71,0.0653659341620674,0.1075659941258743,0,0,15.802380952380952,43.10500849393286,RUNX2
GO_Biological_Process_2021,extrinsic apoptotic signaling pathway (GO:0097191),1/72,0.066256997970156,0.1075659941258743,0,0,15.579029733959311,42.28482356965927,CRADD
GO_Biological_Process_2021,regulation of Rho protein signal transduction (GO:0035023),1/73,0.0671472569391821,0.1075659941258743,0,0,15.361882716049385,41.49040525939519,F2RL3
GO_Biological_Process_2021,regulation of actin filament-based process (GO:0032970),1/73,0.0671472569391821,0.1075659941258743,0,0,15.361882716049385,41.49040525939519,CNN2
GO_Biological_Process_2021,positive regulation of synaptic transmission (GO:0050806),1/73,0.0671472569391821,0.1075659941258743,0,0,15.361882716049385,41.49040525939519,NMU
GO_Biological_Process_2021,"DNA damage response, signal transduction by p53 class mediator (GO:0030330)",1/74,0.068036711755515,0.1079428599967305,0,0,15.150684931506849,40.72061468284932,CRADD
GO_Biological_Process_2021,purine ribonucleotide metabolic process (GO:0009150),1/77,0.0707002581349002,0.1111004056405574,0,0,14.550438596491228,38.54856507595181,SULT1A1
GO_Biological_Process_2021,skin development (GO:0043588),1/80,0.0733565917964349,0.1120725708001088,0,0,13.9957805907173,36.56289786863212,ERRFI1
GO_Biological_Process_2021,positive regulation of cell adhesion (GO:0045785),1/80,0.0733565917964349,0.1120725708001088,0,0,13.9957805907173,36.56289786863212,P4HB
GO_Biological_Process_2021,negative regulation of extrinsic apoptotic signaling pathway (GO:2001237),1/80,0.0733565917964349,0.1120725708001088,0,0,13.9957805907173,36.56289786863212,TNFSF10
GO_Biological_Process_2021,phospholipase C-activating G protein-coupled receptor signaling pathway (GO:0007200),1/81,0.0742404367111781,0.1123823124527008,0,0,13.82013888888889,35.93852915100192,F2RL3
GO_Biological_Process_2021,regulation of osteoblast differentiation (GO:0045667),1/83,0.0760057311635355,0.1129814922701204,0,0,13.481707317073171,34.74163890932849,RUNX2
GO_Biological_Process_2021,regulation of defense response (GO:0031347),1/83,0.0760057311635355,0.1129814922701204,0,0,13.481707317073171,34.74163890932849,CASP4
GO_Biological_Process_2021,post-Golgi vesicle-mediated transport (GO:0006892),1/89,0.081282500607778,0.1176457245638892,0,0,12.55871212121212,31.520163750462697,AP1S2
GO_Biological_Process_2021,regulation of cysteine-type endopeptidase activity involved in apoptotic process (GO:0043281),1/89,0.081282500607778,0.1176457245638892,0,0,12.55871212121212,31.520163750462697,TNFSF10
GO_Biological_Process_2021,collagen fibril organization (GO:0030199),1/89,0.081282500607778,0.1176457245638892,0,0,12.55871212121212,31.520163750462697,P4HB
GO_Biological_Process_2021,hemopoiesis (GO:0030097),1/94,0.0856579879469774,0.1229005914021849,0,0,11.8805256869773,29.195118234670645,RUNX2
GO_Biological_Process_2021,antigen processing and presentation of exogenous peptide antigen via MHC class II (GO:0019886),1/98,0.08914415615924,0.1267998772954706,0,0,11.38831615120275,27.53125984705241,AP1S2
GO_Biological_Process_2021,antigen processing and presentation of peptide antigen via MHC class II (GO:0002495),1/100,0.0908825145361798,0.128167648704869,0,0,11.15712682379349,26.75688382123247,AP1S2
GO_Biological_Process_2021,intrinsic apoptotic signaling pathway (GO:0097193),1/102,0.0926177296022899,0.1295078422404901,0,0,10.935093509350937,26.017591233462856,CASP4
GO_Biological_Process_2021,antigen processing and presentation of exogenous peptide antigen (GO:0002478),1/103,0.0934841600707708,0.1296208942157747,0,0,10.827342047930284,25.660402944175114,AP1S2
GO_Biological_Process_2021,steroid metabolic process (GO:0008202),1/104,0.0943498067238511,0.1297309842452953,0,0,10.72168284789644,25.311170493332494,SULT1A1
GO_Biological_Process_2021,protein processing (GO:0016485),1/106,0.0960787512596211,0.1310164789903924,0,0,10.516402116402116,24.63558791711873,CASP4
GO_Biological_Process_2021,modulation of chemical synaptic transmission (GO:0050804),1/109,0.0986663061603863,0.1334421353808504,0,0,10.222736625514404,23.675978316785635,NMU
GO_Biological_Process_2021,cytoskeleton organization (GO:0007010),1/120,0.1080940988994387,0.1450042790114421,0,0,9.27264239028945,20.62934032119712,CNN2
GO_Biological_Process_2021,epithelium development (GO:0060429),1/122,0.1097981746201039,0.1461024097767512,0,0,9.118457300275482,20.14368774115404,ERRFI1
GO_Biological_Process_2021,cytokine-mediated signaling pathway (GO:0019221),2/621,0.1163571093378989,0.1511851751625236,0,0,3.679939180841965,7.915885112527291,CNN2;P4HB
GO_Biological_Process_2021,Golgi organization (GO:0007030),1/130,0.1165836827983946,0.1511851751625236,0,0,8.549526270456504,18.374179814597177,SYNE1
GO_Biological_Process_2021,regulation of response to external stimulus (GO:0032101),1/130,0.1165836827983946,0.1511851751625236,0,0,8.549526270456504,18.374179814597177,CASP4
GO_Biological_Process_2021,cellular response to hypoxia (GO:0071456),1/131,0.1174284177676257,0.1511851751625236,0,0,8.483333333333333,18.170675130648927,P4HB
GO_Biological_Process_2021,regulation of cell adhesion (GO:0030155),1/133,0.1191155925522913,0.1511851751625236,0,0,8.353956228956228,17.77438595644681,P4HB
